2009.05.29,04:05,1.08068,1.08105,1.08066,1.08090,78
2009.05.29,04:10,1.08090,1.08090,1.08070,1.08090,46
2009.05.29,04:15,1.08088,1.08139,1.08088,1.08125,89
2009.05.29,04:20,1.08125,1.08125,1.08067,1.08098,141
2009.05.29,04:25,1.08096,1.08100,1.08090,1.08091,96
2009.05.29,04:30,1.08090,1.08097,1.08068,1.08070,109
2009.05.29,04:35,1.08072,1.08080,1.08046,1.08070,115
2009.05.29,04:40,1.08066,1.08070,1.08058,1.08062,37
2009.05.29,04:45,1.08066,1.08080,1.08049,1.08051,33
2009.05.29,04:50,1.08051,1.08071,1.08043,1.08055,94
2009.05.29,04:55,1.08053,1.08081,1.08050,1.08060,81
2009.05.29,05:00,1.08062,1.08077,1.08060,1.08063,76
2009.05.29,05:05,1.08063,1.08093,1.08040,1.08045,76
2009.05.29,05:10,1.08045,1.08059,1.07993,1.08000,100
2009.05.29,05:15,1.08001,1.08013,1.07982,1.07988,86
2009.05.29,05:20,1.07987,1.08014,1.07986,1.08000,63
2009.05.29,05:25,1.07999,1.08013,1.07974,1.07983,118
2009.05.29,05:30,1.07980,1.08010,1.07974,1.08010,126
2009.05.29,05:35,1.08006,1.08006,1.07966,1.07975,173
2009.05.29,05:40,1.07973,1.08042,1.07967,1.08042,186
2009.05.29,05:45,1.08042,1.08071,1.08022,1.08071,116
2009.05.29,05:50,1.08073,1.08098,1.08048,1.08090,71
2009.05.29,05:55,1.08090,1.08110,1.08090,1.08091,74
2009.05.29,06:00,1.08100,1.08156,1.08091,1.08145,209
2009.05.29,06:05,1.08146,1.08174,1.08096,1.08122,176
2009.05.29,06:10,1.08127,1.08132,1.08106,1.08115,87
2009.05.29,06:15,1.08116,1.08134,1.08090,1.08108,146
2009.05.29,06:20,1.08104,1.08114,1.08065,1.08074,124
2009.05.29,06:25,1.08071,1.08071,1.08023,1.08030,141
2009.05.29,06:30,1.08031,1.08066,1.07986,1.08060,144
2009.05.29,06:35,1.08057,1.08057,1.08000,1.08011,181
2009.05.29,06:40,1.08002,1.08031,1.07990,1.07991,221
